reporter_id,provider_id,current_time,avg_rating_300,avg_rating_1000,avg_rating_3000,interaction_count_300,interaction_count_1000,interaction_count_3000,distance,same_type,cluster
0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,4,92,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
0,6,92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,7,92,0.1,0.1,0.1,1.0,1.0,1.0,1094,0,1
0,4,183,0.1,0.1,0.1,1.0,1.0,1.0,0,1,1
0,6,183,0.1,0.1,0.1,1.0,1.0,1.0,804,0,1
0,3,364,0.0,0.0,0.0,0.0,0.0,0.0,385,0,1
0,4,364,0.1,0.1,0.1,2.0,2.0,2.0,0,1,0
0,6,364,0.2892996108949416,0.2892996108949416,0.2892996108949416,2.0,2.0,2.0,795,0,0
0,1,455,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,2,636,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,3,636,0.7503242542153048,0.7503242542153048,0.7503242542153048,1.0,1.0,1.0,397,0,0
0,2,817,0.1,0.1,0.1,1.0,1.0,1.0,262,0,1
0,5,817,0.0,0.0,0.0,0.0,0.0,0.0,642,0,1
0,4,908,0.0,0.1,0.1,0.0,3.0,3.0,0,1,1
4,7,991,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,1,999,0.0,0.1,0.1,0.0,1.0,1.0,0,0,1
0,1,1270,0.1,0.1,0.1,1.0,2.0,2.0,131,0,1
0,4,1270,0.0,0.1,0.1,0.0,2.0,4.0,0,1,1
0,6,1270,0.0,0.4844357976653697,0.3543450064850843,0.0,1.0,3.0,789,0,1
0,1,1361,0.9150453955901426,0.3716817985300475,0.3716817985300475,1.0,3.0,3.0,0,0,0
0,4,1361,0.1,0.1,0.1,1.0,3.0,5.0,541,1,0
0,6,1361,0.4883268482490273,0.4863813229571985,0.38784046692607,1.0,2.0,4.0,0,0,0
6,1,1441,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
6,2,1441,0.0,0.0,0.0,0.0,0.0,0.0,534,1,1
6,4,1441,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
6,7,1441,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,4,1452,0.3745784695201037,0.2830523130134025,0.1915261565067012,2.0,3.0,6.0,530,1,0
0,5,1452,0.0,0.5836575875486381,0.5836575875486381,0.0,1.0,1.0,0,0,1
0,6,1452,0.2941634241245136,0.2941634241245136,0.330272373540856,2.0,2.0,5.0,800,0,0
0,7,1452,0.0,0.0,0.1952658884565499,0.0,0.0,2.0,1074,0,1
0,1,1543,0.5075226977950713,0.3716817985300475,0.3037613488975357,2.0,3.0,4.0,0,0,0
0,4,1543,0.4684824902723735,0.3763618677042801,0.2579210672595886,3.0,4.0,7.0,0,1,0
0,6,1543,0.356506701253783,0.356506701253783,0.3554258538694336,3.0,3.0,6.0,813,0,0
0,4,1814,0.1,0.3210894941634241,0.23818093385214,1.0,5.0,8.0,544,1,0
0,6,1814,0.4727626459143969,0.3855706874189364,0.3721882527329998,1.0,4.0,7.0,0,0,0
0,7,1814,0.0,0.3035019455252918,0.2313445741461305,0.0,1.0,3.0,0,0,1
0,1,1995,0.0,0.3037613488975357,0.2630090791180285,0.0,4.0,5.0,136,0,1
0,2,1995,0.0,0.0,0.4650453955901426,0.0,0.0,2.0,286,0,1
0,3,1995,0.0,0.0,0.7464332036316472,0.0,0.0,2.0,406,0,1
0,4,1995,0.6472114137483787,0.4305317769130998,0.2836287649517221,1.0,5.0,9.0,545,1,0
0,1,2266,0.9118028534370948,0.5067120622568093,0.3711413748378729,1.0,4.0,6.0,137,0,0
0,2,2266,0.814526588845655,0.814526588845655,0.5815391266753135,1.0,1.0,3.0,0,0,0
0,4,2266,0.646562905317769,0.4665369649805447,0.3199221789883268,1.0,6.0,10.0,546,1,0
0,5,2357,0.0,-1.0,-0.2081712062256809,0.0,1.0,2.0,0,0,1
0,6,2357,0.0,0.2884889753566796,0.3381647211413748,0.0,4.0,8.0,800,0,0
0,7,2357,0.0,0.2017509727626459,0.1985084306095979,0.0,2.0,4.0,1064,0,1
0,1,2448,0.9111543450064852,0.6409857328145266,0.4482860848619604,1.0,3.0,7.0,0,0,0
0,3,2448,0.0,0.7367055771725033,0.7431906614785992,0.0,1.0,3.0,0,0,1
0,4,2448,0.6459143968871595,0.539195849546044,0.3495578351609479,1.0,5.0,11.0,0,1,0
0,6,2448,0.4811932555123216,0.38378728923476,0.3540567805159245,1.0,4.0,9.0,818,0,0
0,1,2719,-1.0,0.27431906614786,0.2672503242542153,1.0,3.0,8.0,140,0,1
